ks;h1;h2;F1;Lr;RollerType
0;6.99;16.15;1.87;34.0;D
0;6.84;16.72;1.92;32.0;D
0;6.94;16.52;1.92;;D
0;6.51;16.00;1.92;36.0;D
0;6.49;16.13;1.92;32.0;D
0;5.40;12.57;1.99;35.0;D
0;7.09;16.71;1.99;25.0;D
0;5.68;14.58;2.01;34.0;D
0;6.14;15.98;2.02;41.0;D
0;6.35;15.79;2.03;30.0;D
0;5.74;15.33;2.06;40.0;D
0;5.38;14.69;2.09;43.0;D
0;5.22;12.06;2.10;27.0;D
0;5.52;14.92;2.10;37.0;D
0;5.11;12.49;2.12;33.0;D
0;6.17;16.29;2.14;35.0;D
0;5.59;15.42;2.16;34.0;D
0;5.82;15.24;2.18;33.0;D
0;4.84;14.00;2.20;41.0;D
0;4.96;13.77;2.20;36.5;D
0;6.44;16.86;2.20;34.0;D
0;5.92;16.24;2.21;37.0;D
0;6.40;17.17;2.22;35.0;D
0;6.17;16.47;2.27;31.0;D
0;5.46;15.05;2.27;35.0;D
0;5.07;14.70;2.31;36.0;D
0;5.30;14.85;2.35;38.0;D
0;4.21;13.18;2.43;38.0;D
0;5.20;15.38;2.44;42.0;D
0;4.14;12.75;2.48;31.0;D
0;4.67;14.08;2.48;35.0;D
0;3.98;12.65;2.49;46.0;D
0;4.50;14.22;2.53;44.0;D
0;4.37;12.85;2.53;32.0;D
0;4.07;13.59;2.64;39.0;D
0;3.67;12.53;2.75;35.0;D
0;3.59;12.35;2.77;38.0;D
0;3.32;12.06;2.95;47.0;D
0;3.25;11.98;2.97;32.0;D
0;3.12;11.71;3.04;35.0;D
0;2.94;11.42;3.17;43.0;D
0;2.83;11.23;3.18;30.0;D
0;2.78;11.05;3.19;41.0;D
0;2.84;11.23;3.21;34.0;D
0;2.52;10.72;3.43;34.0;D
0;2.44;10.48;3.43;31.0;D
0;4.11;18.38;3.44;51.0;D
0;2.27;10.39;3.64;40.0;D
0;3.08;18.87;4.69;57.0;D
0;2.92;18.67;4.82;60.0;D
0;3.32;20.75;4.83;60.0;D
0;2.28;15.66;5.13;56.0;D
0;3.42;23.45;5.19;82.0;D
0;2.63;17.97;5.21;56.0;D
0;3.18;22.94;5.42;90.0;D
0;2.30;16.98;5.56;70.0;D
0;2.91;22.65;5.85;86.0;D
0;2.07;15.62;5.85;50.0;D
0;2.13;16.77;5.94;58.0;D
0;2.65;22.06;6.29;80.0;D
0;2.38;21.78;6.88;77.0;D
0;2.20;20.78;7.09;80.0;D
0;2.01;19.62;7.30;82.0;D
0;2.20;21.93;7.42;70.0;D
0;1.91;19.57;7.67;78.0;D
0.46;5.65;16.04;2.29;;ND
0.46;5.49;16.06;2.41;;ND
0.46;5.07;16.08;2.69;;ND
0.46;4.69;17.70;3.03;66.0;ND
0.46;4.75;18.26;3.11;62.0;ND
0.46;4.57;17.88;3.14;61.0;ND
0.46;4.66;18.55;3.20;64.0;ND
0.46;4.25;19.63;3.66;65.0;ND
0.46;4.19;19.38;3.73;68.0;ND
0.46;4.15;19.24;3.79;69.0;ND
0.46;3.93;18.41;3.80;62.0;ND
0.46;3.86;18.98;3.86;67.0;ND
0.46;4.06;19.71;3.92;65.0;ND
0.46;3.73;18.51;4.04;;ND
0.46;3.60;18.95;4.33;70.0;D
0.46;3.39;18.12;4.40;66.0;D
0.46;3.31;18.18;4.48;50.0;D
0.46;3.29;18.47;4.55;54.0;D
0.46;3.57;19.84;4.69;55.0;D
0.46;3.53;20.70;4.79;74.0;D
0.46;3.49;20.29;4.84;52.0;D
0.46;3.12;17.90;4.86;66.0;D
0.46;3.44;19.90;4.90;53.0;D
0.46;3.08;18.06;4.91;65.0;D
0.46;3.26;19.73;4.95;63.0;D
0.46;3.26;19.47;4.96;68.0;D
0.46;3.41;20.89;5.01;76.0;D
0.46;3.01;18.10;5.13;50.0;D
0.46;3.35;20.70;5.15;73.0;D
0.46;3.00;17.97;5.15;67.0;D
0.46;3.32;20.18;5.16;71.0;D
0.46;3.23;20.83;5.40;71.0;D
0.46;3.02;19.97;5.42;71.0;D
0.46;3.02;19.54;5.47;70.0;D
0.46;2.88;18.46;5.48;56.0;D
0.46;2.74;17.69;5.57;68.0;D
0.46;2.82;18.20;5.58;69.0;D
0.46;2.96;19.55;5.62;60.0;D
0.46;2.69;17.84;5.66;60.0;D
0.46;2.68;17.19;5.67;58.0;D
0.46;2.53;16.75;5.67;58.0;D
0.46;2.27;15.57;5.68;61.0;D
0.46;2.66;18.48;5.78;70.0;D
0.46;2.48;17.11;5.85;59.0;D
0.46;2.42;16.73;6.01;64.0;D
0.46;2.42;16.37;6.04;66.0;D
0.46;2.65;18.47;6.11;67.0;D
0.46;2.54;17.76;6.19;70.0;D
0.46;2.32;16.87;6.23;65.0;D
0.46;2.51;18.25;6.23;64.0;D
0.46;2.74;19.31;6.24;69.0;D
0.46;2.57;19.02;6.44;60.0;D
0.46;2.15;16.36;6.53;62.0;D
0.46;2.24;16.47;6.53;65.0;D
0.46;2.26;16.56;6.60;67.0;D
0.46;2.05;15.00;6.61;58.0;D
0.46;2.38;17.86;6.75;67.0;D
0.46;2.07;16.27;6.99;63.0;D
0.46;2.10;16.29;7.02;63.0;D
0.46;1.75;14.04;7.26;58.0;D
0.46;2.13;17.46;7.35;64.0;D
0.46;1.44;11.82;7.61;48.0;D
0.46;1.84;15.22;7.68;61.0;D
0.46;1.61;13.59;7.71;56.0;D
0.46;1.69;13.58;7.72;54.0;D
0.46;1.21;11.39;8.70;50.0;D
0.46;1.11;10.80;8.72;44.0;D
0.82;6.75;19.06;2.22;67.0;ND
0.82;6.53;19.15;2.25;70.0;ND
0.82;6.25;19.34;2.40;69.0;ND
0.82;6.00;20.06;2.56;69.0;ND
0.82;5.87;19.55;2.63;73.0;ND
0.82;5.41;18.90;2.68;66.0;ND
0.82;5.28;16.06;2.80;70.0;ND
0.82;5.14;18.82;2.89;70.0;ND
0.82;5.10;18.98;2.93;70.0;ND
0.82;4.98;19.63;3.03;74.0;ND
0.82;4.71;18.80;3.04;71.0;ND
0.82;4.69;18.72;3.15;70.0;ND
0;3.20;16.31;3.71;50.0;D
0;3.49;17.59;3.86;51.0;D
0;2.03;9.95;3.96;31.0;D
0;4.13;21.93;4.09;72.0;D
0;1.87;10.13;4.12;39.0;D
0;3.83;21.63;4.36;85.0;D
0;3.53;21.17;4.65;70.0;D
0.82;3.47;16.86;3.55;53.0;ND
0.82;3.56;16.59;3.56;55.0;ND
0.46;3.13;18.94;5.19;61.0;D
0.46;2.99;18.18;5.21;50.0;D
0.46;3.09;18.94;5.23;62.0;D
0.46;2.67;17.45;5.28;62.0;D
0.46;2.95;18.29;5.29;55.0;D
0.46;2.65;16.77;5.29;64.0;D
0.46;2.82;17.98;5.29;58.0;D
1.46;4.76;18.17;3.17;66.0;ND
1.46;4.69;18.58;3.24;65.0;ND
0.82;4.45;18.80;3.29;67.0;ND
0.82;4.69;20.23;3.32;76.0;ND
0.82;4.41;18.93;3.34;66.0;ND
0.82;4.35;19.51;3.36;66.0;ND
0.82;4.38;19.60;3.37;64.0;ND
0.82;4.38;18.97;3.40;76.0;ND
0.82;4.23;19.58;3.54;65.0;ND
2.39;4.97;12.10;2.61;;ND
2.39;4.55;12.14;2.98;;ND
0.82;3.26;16.74;4.00;54.0;ND
0.82;3.22;16.82;4.07;55.0;ND
0.82;3.83;20.22;4.10;75.0;D
0.82;2.69;13.87;4.27;41.0;D
0.82;3.65;19.51;4.39;66.0;D
0.82;3.79;21.14;4.45;60.0;D
0.82;3.07;17.60;4.49;57.0;ND
0.82;3.58;19.09;4.51;63.0;D
0.82;2.95;16.43;4.51;53.0;D
0.82;3.74;21.09;4.56;73.0;D
0.82;3.00;17.23;4.64;58.0;D
0.82;3.38;19.47;4.69;65.0;D
0.82;2.58;15.57;4.71;42.0;D
0.82;2.85;16.20;4.75;53.0;D
0.82;2.48;14.06;4.76;47.0;D
0.82;2.83;16.98;5.03;60.0;D
0.82;2.81;17.22;5.06;58.0;D
0.82;3.13;19.28;5.19;60.0;D
0.82;2.65;16.16;5.25;47.0;D
0.82;1.93;12.51;5.31;43.0;D
0.82;2.11;14.45;5.34;56.0;D
0.82;1.50;10.50;5.37;30.0;D
0.82;2.33;15.63;5.46;51.0;D
0.82;2.27;15.22;5.53;48.0;D
0.82;2.19;14.79;5.56;50.0;D
0.82;1.88;13.30;5.79;52.0;D
0.82;1.74;12.45;5.86;45.0;D
0.82;1.35;9.21;5.89;29.0;D
0.82;2.16;14.89;5.93;58.0;D
0.82;1.58;11.05;5.97;40.0;D
0.82;1.34;9.18;6.02;24.0;D
0.82;1.69;11.82;6.05;42.0;D
0.82;1.56;11.01;6.13;37.0;D
0.82;1.68;12.65;6.51;53.0;D
0.82;1.27;9.08;6.51;25.0;D
0.82;1.25;8.98;6.64;18.0;D
0.82;1.57;12.25;6.91;45.0;D
0.82;1.59;13.25;7.02;45.0;D
0.82;1.50;11.88;7.21;43.0;D
1.46;4.71;18.42;3.26;70.0;ND
1.46;4.62;18.56;3.30;66.0;ND
1.46;4.51;18.71;3.44;66.0;ND
1.46;4.43;18.95;3.49;68.0;ND
1.46;4.43;18.76;3.51;68.0;ND
1.46;3.98;17.91;3.63;64.0;ND
1.46;4.16;18.79;3.87;67.0;ND
1.46;3.98;18.62;3.97;72.0;ND
1.46;3.70;17.56;4.03;62.0;ND
1.46;3.90;18.63;4.06;68.0;ND
1.46;3.45;16.96;4.10;63.0;ND
1.46;3.69;18.50;4.11;65.0;ND
1.46;3.97;19.42;4.12;63.0;ND
1.46;3.63;18.26;4.16;68.0;ND
1.46;3.63;17.45;4.16;61.0;ND
1.46;3.82;18.87;4.17;60.0;ND
1.46;3.39;16.32;4.18;58.0;ND
1.46;3.73;18.71;4.38;66.0;ND
1.46;3.68;19.15;4.43;62.0;ND
1.46;3.76;20.42;4.45;67.0;ND
1.46;3.47;18.56;4.45;62.0;ND
1.46;3.31;18.10;4.75;61.0;ND
1.46;2.66;14.95;4.77;49.0;D
1.46;3.07;16.25;4.85;57.0;ND
1.46;3.47;20.25;5.00;60.0;D
1.46;3.00;17.02;5.05;61.0;ND
1.46;3.38;20.06;5.19;;D
1.46;2.89;16.95;5.29;;D
1.46;2.68;18.08;5.67;58.0;D
1.46;2.93;19.23;5.74;64.0;D
1.46;2.63;16.84;5.79;56.0;D
1.46;2.71;17.56;5.87;62.0;D
1.46;2.60;16.68;5.87;53.0;D
1.46;3.06;20.73;5.99;63.0;D
1.46;2.83;19.04;6.05;;D
1.46;2.63;17.58;6.09;60.0;D
1.46;2.54;16.59;6.15;59.0;D
1.46;2.29;15.38;6.23;48.0;D
1.46;2.54;17.53;6.35;60.0;D
2.39;4.38;12.24;3.14;;ND
2.39;4.28;13.42;3.24;;ND
2.39;4.56;14.54;3.29;;ND
2.39;4.49;15.14;3.42;;ND
2.39;4.10;13.31;3.46;;ND
2.39;4.47;15.51;3.47;;ND
2.39;3.87;15.33;3.75;;ND
2.39;4.16;16.00;3.78;;ND
2.39;4.11;15.87;3.90;;ND
2.39;4.07;16.43;3.97;70.0;ND
2.39;3.72;13.49;4.00;;ND
2.39;3.72;16.46;4.15;63.0;ND
2.39;3.33;16.21;4.58;60.0;ND
2.39;2.75;12.20;4.59;49.0;ND
2.39;3.55;18.05;4.77;67.0;ND
2.39;2.95;14.04;4.87;56.0;ND
2.39;3.28;17.20;4.98;63.0;ND
