i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;1;OnePlusOne;1;8.481168997191022;7.227643361534525;0.042075743222919584;3.074127306879552;0.42857933731068887
1;1;OnePlusOne;2;8.481999867886799;7.22912387570755;0.041934855065622806;3.0720956683038874;0.4326779029226055
1;1;OnePlusOne;3;8.481199603626239;7.227699550517033;0.04207016728530341;3.0740536966854837;0.42873115204969164
1;1;OnePlusOne;4;8.46588468877791;7.464727427826065;0.05012975159717659;3.2501465790867234;0.09926791816661958
1;1;OnePlusOne;5;8.48344364008161;7.232005446387528;0.041652466054881494;3.0686206074406996;0.43986686597641106
1;1;OnePlusOne;6;8.481162059400107;7.227633357917342;0.042077111274327256;3.074144550814258;0.42854461005997274
1;1;OnePlusOne;7;8.481291652184222;7.227869614988299;0.042053881345055076;3.073830836046094;0.4291877454714524
1;1;OnePlusOne;8;8.477297972642212;7.541800202798782;0.05112956406237251;3.2835346188591594;0.042513618916717545
1;1;OnePlusOne;9;8.456364266290617;7.271214535293896;0.04730030061477421;3.154542184645666;0.26867411413167835
1;1;OnePlusOne;10;8.472372338473168;7.509581231561226;0.05108912312401553;3.2692809603478934;0.06491826334781438
1;1;DE;1;8.457917691696435;7.277694170971014;0.047660435344053176;3.1518821802129655;0.2653936004040759
1;1;DE;2;8.475559519169828;7.22870028029417;0.03628704210508345;3.150323143395852;0.34301533511618715
1;1;DE;3;9.022176137052984;7.937750557806969;-0.019022039010527857;2.7067252079185105;1.2747839462743555
1;1;DE;4;8.609966678961738;7.325140723164965;0.0012278151250504086;3.275244513375738;0.3378838656970722
1;1;DE;5;8.473438953480322;7.291199768919382;0.05757495393346073;3.1164580338928234;0.2742146887942143
1;1;DE;6;8.470448491921234;7.2133196615656985;0.03957252897816127;3.1273228139647316;0.34877428751076467
1;1;DE;7;8.467129465756138;7.229204239814129;0.04541450581496552;3.1149496415064846;0.33419235056349267
1;1;DE;8;17.56545437635763;19.423327878842446;-0.24818606819663688;0.37625827828767067;5.783640592758324
1;1;DE;9;8.458826213147645;7.266225400993763;0.04399906796835242;3.168133611435571;0.2700718088793561
1;1;DE;10;8.56029733635508;7.544845858751711;0.05542950497855914;3.310969371061739;0.04132472398707465
1;1;RealSpacePSO;1;8.4556333536703;7.282919445921146;0.04689033259222238;3.1655197422531565;0.2532390532599139
1;1;RealSpacePSO;2;8.45563334521752;7.282919010864373;0.046890302880737374;3.165519589238827;0.25323949194797324
1;1;RealSpacePSO;3;8.455634743623957;7.28295464406597;0.04689527083212368;3.1655191359823087;0.25320919314800655
1;1;RealSpacePSO;4;8.455633685420892;7.282951295574739;0.04689141068772475;3.165537227858805;0.25320412325744784
1;1;RealSpacePSO;5;8.455633390421035;7.282918911682206;0.04689039690517707;3.165519306644943;0.2532396631695289
1;1;RealSpacePSO;6;8.45563336640393;7.282919937945226;0.046890327322839515;3.165520204984789;0.2532384192996317
1;1;RealSpacePSO;7;8.455633369709899;7.282920538624628;0.04689033028782412;3.165520497900845;0.253237793470458
